2025-06-11 16:16:24 2025-06-11 13:16:24,619 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/acctgPrefPermissionCheck] finished in [4] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,623 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/getPartyAccountingPreferences] finished in [9] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,629 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/createAcctgTransEntry] finished in [25] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,630 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/copyAcctgTransAndEntries] finished in [446] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,631 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/revertAcctgTransOnRemovePaymentApplications] finished in [481] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,683 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/removePaymentApplication] finished in [542] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,685 |jsse-nio-8443-exec-6 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2025-06-11 16:16:24 2025-06-11 13:16:24,687 |jsse-nio-8443-exec-6 |CommonPermissionServices      |I| Checking for alternate permission ACCOUNTING_ROLE_UPDATE
2025-06-11 16:16:24 2025-06-11 13:16:24,688 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/genericBasePermissionCheck] finished in [2] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,689 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/acctgInvoicePermissionCheck] finished in [5] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,696 |jsse-nio-8443-exec-6 |PrimaryKeyFinder              |I| Returning null because found incomplete primary key in find: [GenericEntity:InvoiceStatus][invoiceId,8003(java.lang.String)][statusDate,null()][statusId,INVOICE_READY(java.lang.String)]
2025-06-11 16:16:24 2025-06-11 13:16:24,699 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/createInvoiceStatus] finished in [3] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,700 |jsse-nio-8443-exec-6 |ServiceEcaRule                |I| For Service ECA [setInvoiceStatus] on [commit] got false for condition: [oldStatusId][not-equals][INVOICE_PAID][true][String]
2025-06-11 16:16:24 2025-06-11 13:16:24,700 |jsse-nio-8443-exec-6 |ServiceEcaRule                |I| For Service ECA [setInvoiceStatus] on [commit] got false for condition: [invoiceTypeId][equals][CUST_RTN_INVOICE][true][String]
2025-06-11 16:16:24 2025-06-11 13:16:24,700 |jsse-nio-8443-exec-6 |ServiceEcaRule                |I| For Service ECA [setInvoiceStatus] on [commit] got false for condition: [statusId][equals][INVOICE_CANCELLED][true][String]
2025-06-11 16:16:24 2025-06-11 13:16:24,700 |jsse-nio-8443-exec-6 |ServiceEcaRule                |I| For Service ECA [setInvoiceStatus] on [commit] got false for condition: [statusId][equals][INVOICE_APPROVED][true][String]
